run_id,condition,interface,frame_no,timestamp,src,dst,sport,dport,typeid,cot,ioa
attack_fw_only_002,attack_fw_only,DSS2ASW-eth2,79,12.015061251,1.1.10.10,1.1.2.1,43294,2404,46,6,5004
attack_fw_only_002,attack_fw_only,DSS2ASW-eth3,56,11.014378352,1.1.10.10,1.1.2.1,43294,2404,46,6,5000
attack_fw_only_002,attack_fw_only,DSS2ASW-eth3,61,11.264565743,1.1.10.10,1.1.2.1,43294,2404,46,6,5001
attack_fw_only_002,attack_fw_only,DSS2ASW-eth3,66,11.514756677,1.1.10.10,1.1.2.1,43294,2404,46,6,5002
attack_fw_only_002,attack_fw_only,DSS2ASW-eth3,71,11.764925151,1.1.10.10,1.1.2.1,43294,2404,46,6,5003
attack_fw_only_002,attack_fw_only,DSS2ASW-eth3,79,12.015054668,1.1.10.10,1.1.2.1,43294,2404,46,6,5004
attack_fw_only_002,attack_fw_only,DSS2GW-eth1,56,11.014369685,1.1.10.10,1.1.2.1,43294,2404,46,6,5000
attack_fw_only_002,attack_fw_only,DSS2GW-eth1,61,11.264553868,1.1.10.10,1.1.2.1,43294,2404,46,6,5001
attack_fw_only_002,attack_fw_only,DSS2GW-eth1,66,11.514745635,1.1.10.10,1.1.2.1,43294,2404,46,6,5002
attack_fw_only_002,attack_fw_only,DSS2GW-eth1,71,11.764913693,1.1.10.10,1.1.2.1,43294,2404,46,6,5003
attack_fw_only_002,attack_fw_only,DSS2GW-eth1,79,12.015044793,1.1.10.10,1.1.2.1,43294,2404,46,6,5004
attack_fw_only_002,attack_fw_only,DSS2GW-eth2,56,11.014375227,1.1.10.10,1.1.2.1,43294,2404,46,6,5000
attack_fw_only_002,attack_fw_only,DSS2GW-eth2,61,11.264560952,1.1.10.10,1.1.2.1,43294,2404,46,6,5001
attack_fw_only_002,attack_fw_only,DSS2GW-eth2,66,11.514752385,1.1.10.10,1.1.2.1,43294,2404,46,6,5002
attack_fw_only_002,attack_fw_only,DSS2GW-eth2,71,11.764920485,1.1.10.10,1.1.2.1,43294,2404,46,6,5003
attack_fw_only_002,attack_fw_only,DSS2GW-eth2,79,12.015050835,1.1.10.10,1.1.2.1,43294,2404,46,6,5004
attack_fw_only_002,attack_fw_only,DSS3ASW-eth1,58,12.327581741,1.1.10.10,1.1.3.1,54246,2404,46,6,5000
attack_fw_only_002,attack_fw_only,DSS3ASW-eth1,63,12.607917911,1.1.10.10,1.1.3.1,54246,2404,46,6,5001
attack_fw_only_002,attack_fw_only,DSS3ASW-eth1,68,12.858063261,1.1.10.10,1.1.3.1,54246,2404,46,6,5002
attack_fw_only_002,attack_fw_only,DSS3ASW-eth1,73,13.108238027,1.1.10.10,1.1.3.1,54246,2404,46,6,5003
attack_fw_only_002,attack_fw_only,DSS3ASW-eth1,80,13.527393929,1.1.10.10,1.1.3.1,54246,2404,46,6,5004
attack_fw_only_002,attack_fw_only,DSS3ASW-eth2,58,12.327581575,1.1.10.10,1.1.3.1,54246,2404,46,6,5000
attack_fw_only_002,attack_fw_only,DSS3ASW-eth2,63,12.607918662,1.1.10.10,1.1.3.1,54246,2404,46,6,5001
attack_fw_only_002,attack_fw_only,DSS3ASW-eth2,68,12.858063387,1.1.10.10,1.1.3.1,54246,2404,46,6,5002
